Zeitstempel,PV-Leistung (kW),Netz-Leistung (kW),Batterie-Leistung (kW),Hausverbrauch (kW),Batterieladestand (%)
2025-05-07 12:33:36,2.7805491638183595,1.5693,0.0054528040885925295,1.10621171875,100.0
2025-05-07 12:33:46,2.778819641113281,1.5669000000000002,0.006635685920715332,1.1072040039062498,100.0
2025-05-07 12:33:56,2.776147735595703,1.579,0.005887559413909912,1.093298828125,100.0
2025-05-07 12:34:06,2.774646514892578,1.5823,0.00668149185180664,1.087662890625,100.0
2025-05-07 12:34:16,2.775243682861328,1.5797,0.006143878936767578,1.09090498046875,100.0
2025-05-07 12:34:26,2.7768915100097655,1.5740999999999998,0.005254985809326172,1.098419775390625,100.0
2025-05-07 12:34:36,2.777283935546875,1.5872,0.0063856010437011715,1.08453388671875,100.0
2025-05-07 12:34:47,2.77699267578125,1.5803,0.005475791454315185,1.0918953125,100.0
2025-05-07 12:38:19,3.162916564941406,1.9618,0.007827807426452636,1.08774296875,100.0
2025-05-07 12:38:29,3.185802001953125,1.9942,0.006190065383911133,1.07678388671875,100.0
2025-05-07 12:38:39,3.228581115722656,2.0423,0.006351001739501953,1.07104765625,100.0
2025-05-07 12:38:49,3.2700504760742186,2.0829,0.006393820285797119,1.070959619140625,100.0
2025-05-07 12:38:59,3.301225280761719,2.1108000000000002,0.007689526081085205,1.0736047851562498,100.0
2025-05-07 12:39:10,3.337345642089844,2.0421,0.00529572582244873,1.17700546875,100.0
2025-05-07 12:39:20,3.3662355346679687,2.0659,0.007622570037841797,1.1818998046875,100.0
2025-05-07 12:39:30,3.3688400268554686,2.0809,0.005948077201843262,1.1687982421874998,100.0
2025-05-07 12:39:40,3.3752825927734373,2.0551999999999997,0.008489635467529297,1.2015290039062503,100.0
2025-05-07 12:39:50,3.411783630371094,2.1012,0.00732517147064209,1.1911774414062501,100.0
2025-05-07 12:40:00,3.449691101074219,2.1528,0.005997304439544678,1.1762056152343747,100.0
2025-05-07 12:40:10,3.4141665649414064,2.1147,0.006997075080871582,1.1788920410156252,100.0
2025-05-07 12:40:20,3.373433410644531,2.0803000000000003,0.006584291458129883,1.173337939453125,100.0
2025-05-07 12:40:30,3.357134765625,2.0452,0.005701388359069824,1.19276923828125,100.0
2025-05-07 12:40:40,3.366051452636719,2.1718,0.0065824522972106935,1.0754900390624997,100.0
2025-05-07 12:40:50,3.410013854980469,2.2171999999999996,0.00758872652053833,1.0734831054687501,100.0
2025-05-07 12:41:00,3.5153099365234377,2.2916,0.006087195873260498,1.10367197265625,100.0
2025-05-07 12:41:11,3.5794616088867186,2.3703000000000003,0.008287365913391114,1.0858420898437497,100.0
2025-05-07 12:41:21,3.574387878417969,2.3828,0.006199911594390869,1.0672332031249998,100.0
2025-05-07 12:41:31,3.587162536621094,2.3998000000000004,0.007710332870483398,1.06292412109375,100.0
2025-05-07 12:41:41,3.601533203125,2.4085,0.006313883304595948,1.069582763671875,100.0
2025-05-07 12:41:51,3.611503662109375,2.4196,0.008625497817993164,1.06806552734375,100.0
2025-05-07 12:42:01,3.6375348510742187,2.4363,0.006441649436950684,1.0757820312499997,100.0
2025-05-07 12:42:11,3.65883349609375,2.4637,0.008785329818725585,1.0703363769531251,100.0
2025-05-07 12:42:22,3.652284851074219,2.4659,0.0059939661026000976,1.0608563476562498,100.0
2025-05-07 12:42:32,3.6362733154296873,2.4483,0.007905390739440918,1.0624529296874998,100.0
2025-05-07 12:42:42,3.613199645996094,2.4271,0.007152593135833741,1.0619068359375001,100.0
2025-05-07 12:42:52,3.627373474121094,2.4388,0.007579352378845215,1.0633049804687498,100.0
2025-05-07 12:43:02,3.612174072265625,2.4293,0.0075783848762512205,1.0584597656249999,100.0
2025-05-07 12:43:12,3.6053018798828127,2.4174,0.006320007801055908,1.063545556640625,100.0
2025-05-07 12:43:22,3.6292452392578123,2.433,0.00797197389602661,1.0715615234375,100.0
2025-05-07 12:43:32,3.678729248046875,2.3091999999999997,0.008490899085998534,1.2438959472656252,100.0
2025-05-07 12:43:42,3.6534566650390623,2.3273,0.006465702533721924,1.1975254394531247,100.0
2025-05-07 12:43:52,3.6652008056640626,2.3122,0.008356960296630859,1.2249396484375001,100.0
2025-05-07 12:44:02,3.693422302246094,2.3516,0.00895015525817871,1.2127762207031252,100.0
2025-05-07 12:44:13,3.6765966796875,2.3297,0.005766231536865235,1.2170753906250003,100.0
2025-05-07 12:44:23,3.605493469238281,2.2731,0.00684193754196167,1.2050650390625002,100.0
2025-05-07 12:44:33,3.555435302734375,2.2156,0.007571603775024414,1.21261435546875,100.0
2025-05-07 12:44:43,3.499304138183594,2.1666,0.005575347900390625,1.20754306640625,100.0
2025-05-07 12:44:53,3.492896789550781,2.1945,0.007341714859008789,1.176708984375,100.0
2025-05-07 12:45:03,3.4949397583007813,2.1194,0.007833747386932374,1.25458828125,100.0
2025-05-07 12:45:13,3.51184033203125,2.1428000000000003,0.006905483245849609,1.2483291503906249,100.0
2025-05-07 12:45:24,3.57264306640625,2.1866,0.006015647411346436,1.262598974609375,100.0
2025-05-07 12:45:34,3.624130432128906,2.2327,0.005100568294525146,1.2675333984375001,100.0
